temp_bucket,is_taxi,avg_duration,avg_precip,avg_wind,trip_count
,1,11732.81,,,1442
5.0,1,1017.99,0.0,19.28,172504
5.0,0,682.02,0.0,19.1,11815
10.0,1,957.79,0.0,18.26,201215
10.0,0,888.26,0.0,16.17,14332
15.0,1,990.96,0.0,13.82,536779
15.0,0,709.44,0.0,11.69,46285
20.0,1,1048.5,0.0,12.32,989351
20.0,0,714.57,0.0,12.08,110933
25.0,1,1054.39,0.03,12.77,3092201
25.0,0,738.06,0.01,12.12,439058
30.0,1,1035.82,0.08,10.68,5185598
30.0,0,781.51,0.04,9.93,682208
35.0,1,1054.01,0.11,12.15,8466252
35.0,0,813.26,0.06,11.74,1329473
40.0,1,1066.02,0.1,12.17,7946847
40.0,0,840.85,0.07,11.88,1294086
45.0,1,1063.36,0.16,13.26,6826094
45.0,0,881.89,0.06,12.51,1251663
50.0,1,1109.0,0.16,12.05,5571980
50.0,0,920.69,0.08,11.13,1199624
55.0,1,1108.22,0.18,13.14,6996679
55.0,0,952.79,0.11,12.75,1691484
60.0,1,1107.01,0.2,12.16,7236289
60.0,0,985.14,0.11,11.71,2003693
65.0,1,1099.96,0.13,11.55,6671570
65.0,0,1041.56,0.1,11.4,2058404
70.0,1,1107.64,0.2,10.92,7799660
70.0,0,1028.75,0.15,10.95,2562218
75.0,1,1099.01,0.12,8.99,7924418
75.0,0,1048.53,0.09,8.96,2766351
80.0,1,1109.0,0.16,9.47,4940405
80.0,0,1133.99,0.11,9.53,1694324
85.0,1,1088.84,0.16,9.39,3133103
85.0,0,1123.55,0.1,9.68,1095532
90.0,1,1048.35,0.09,11.54,785035
90.0,0,1057.43,0.06,11.74,267013
95.0,1,1024.17,0.08,12.18,121022
95.0,0,1093.67,0.07,12.38,33021
